,CenturyLink,,,,,,,,"Cincinnati Bell DSL",,,,,,,,"Frontier DSL",,,,,,,,Windstream,,,,,,,,Charter,,,,,,,,Comcast,,,,,,,,Cox,,,,,,,,Mediacom,,,,,,,,Optimum,,,,,,,,"Cincinnati Bell Fiber",,,,,,,,"Frontier Fiber",,,,,,,,Verizon,,,,,,,,Total,,,,,,,
"Tier (Mbps)","Weighted Mean","Unweighted Mean","Weighted Median","Unweighted Median","Standard Error of Mean","Standard Deviation","95% C.I","Unweighted Valid N","Weighted Mean","Unweighted Mean","Weighted Median","Unweighted Median","Standard Error of Mean","Standard Deviation","95% C.I","Unweighted Valid N","Weighted Mean","Unweighted Mean","Weighted Median","Unweighted Median","Standard Error of Mean","Standard Deviation","95% C.I","Unweighted Valid N","Weighted Mean","Unweighted Mean","Weighted Median","Unweighted Median","Standard Error of Mean","Standard Deviation","95% C.I","Unweighted Valid N","Weighted Mean","Unweighted Mean","Weighted Median","Unweighted Median","Standard Error of Mean","Standard Deviation","95% C.I","Unweighted Valid N","Weighted Mean","Unweighted Mean","Weighted Median","Unweighted Median","Standard Error of Mean","Standard Deviation","95% C.I","Unweighted Valid N","Weighted Mean","Unweighted Mean","Weighted Median","Unweighted Median","Standard Error of Mean","Standard Deviation","95% C.I","Unweighted Valid N","Weighted Mean","Unweighted Mean","Weighted Median","Unweighted Median","Standard Error of Mean","Standard Deviation","95% C.I","Unweighted Valid N","Weighted Mean","Unweighted Mean","Weighted Median","Unweighted Median","Standard Error of Mean","Standard Deviation","95% C.I","Unweighted Valid N","Weighted Mean","Unweighted Mean","Weighted Median","Unweighted Median","Standard Error of Mean","Standard Deviation","95% C.I","Unweighted Valid N","Weighted Mean","Unweighted Mean","Weighted Median","Unweighted Median","Standard Error of Mean","Standard Deviation","95% C.I","Unweighted Valid N","Weighted Mean","Unweighted Mean","Weighted Median","Unweighted Median","Standard Error of Mean","Standard Deviation","95% C.I","Unweighted Valid N","Weighted Mean","Unweighted Mean","Weighted Median","Unweighted Median","Standard Error of Mean","Standard Deviation","95% C.I","Unweighted Valid N"
3,0.004041846,0.004041846,0.001563086,0.001563086,0.001050322,0.007426901,"0 - 0.01",50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004041846,0.004041846,0.001563086,0.001563086,0.001050322,0.007426901,"0 - 0.01",50
5,,,,,,,,,0.003121808,0.003121808,0.000494,0.000494,0.001266335,0.008864346,"0 - 0.01",49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003121808,0.003121808,0.000494,0.000494,0.001266335,0.008864346,"0 - 0.01",49
10,0.00143749,0.00143749,0.000783,0.000783,0.000182,0.001540184,"0 - 0",72,,,,,,,,,,,,,,,,,0.001326719,0.001326719,0.000977,0.000977,0.000199,0.001475022,"0 - 0",55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00142901,0.001389519,0.000793,0.000855,0.000134,0.001507373,"0 - 0",127
12,0.002094377,0.002094377,0.000852,0.000852,0.000422,0.003399798,"0 - 0",65,,,,,,,,,0.003142167,0.003142167,0.00089,0.00089,0.001117949,0.009013196,"0 - 0.01",65,0.001480276,0.001480276,0.000801,0.000801,0.000253,0.001791488,"0 - 0",50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002358162,0.002302162,0.000843,0.000833,0.000438,0.005875179,"0 - 0",180
15,,,,,,,,,,,,,,,,,,,,,,,,,0.001282427,0.001282427,0.000668,0.000668,0.000222,0.001491688,"0 - 0",45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001282427,0.001282427,0.000668,0.000668,0.000222,0.001491688,"0 - 0",45
18,,,,,,,,,,,,,,,,,0.00194849,0.00194849,0.00058,0.00058,0.000469,0.003110114,"0 - 0",44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00194849,0.00194849,0.00058,0.00058,0.000469,0.003110114,"0 - 0",44
20,0.001354985,0.001354985,0.000424,0.000424,0.00036,0.002715365,"0 - 0",57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001354985,0.001354985,0.000424,0.000424,0.00036,0.002715365,"0 - 0",57
25,0.001218364,0.001218364,0.000582,0.000582,0.000169,0.001573875,"0 - 0",87,,,,,,,,,,,,,,,,,0.000832,0.000832,0.000453,0.000453,0.000132,0.0009859999999999999,"0 - 0",56,,,,,,,,,0.001246446,0.001246446,0.000484,0.000484,0.000345,0.002607491,"0 - 0",57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001217723,0.00111829,0.000483,0.000483,0.000128,0.001812267,"0 - 0",200
40,0.00093,0.00093,0.000419,0.000419,0.000253,0.001895804,"0 - 0",56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00093,0.00093,0.000419,0.000419,0.000253,0.001895804,"0 - 0",56
50,,,,,,,,,0.000663,0.000663,0.000337,0.000337,0.000107,0.000735,"0 - 0",47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001110243,0.001110243,0.00081,0.00081,0.000175,0.001331485,"0 - 0",58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0004,0.0004,0.000124,0.000124,0.000207,0.00128967,"0 - 0",39,0.000929,0.000772,0.000531,0.000358,9.9E-05,0.001187522,"0 - 0",144
