state,stateTotalRecords,AreaBuilding,AreaBuildingDefinitionCode,AreaLotSF,AssessorLastSaleAmount,AssessorLastSaleDate,AssessorPriorSaleAmount,AssessorPriorSaleDate,BedroomsCount,CensusBlock,ContactOwnerMailAddressFull,ContactOwnerMailAddressInfoFormat,DeedOwner1NameFull,Fireplace,FireplaceCount,GeoQuality,LegalDescription,OwnerTypeDescription1,ParkingGarage,ParkingGarageArea,ParkingSpaceCount,PartyOwner1NameFull,PreviousAssessedValue,PropertyAddressFull,PropertyLatitude,PropertyLongitude,PropertyUseGroup,PropertyUseStandardized,RoofConstruction,RoomsCount,RoomsFamilyCode,RoomsGameFlag,StatusOwnerOccupiedFlag,StoriesCount,TaxAssessedValueImprovements,TaxAssessedValueTotal,TaxMarketValueImprovements,TaxMarketValueTotal,TaxMarketValueYear,TaxYearAssessed,UnitsCount,YearBuilt
SC,3117768,67,61,73,50,85,24,49,43,98,99,69,97,21,15,100,99,90,29,20,15,100,97,88,94,94,100,100,26,18,1,0,71,54,51,94,70,98,97,100,51,64
SD,736753,27,20,87,10,33,3,6,20,98,98,96,100,5,4,100,100,100,17,15,14,100,97,53,86,86,100,100,16,10,1,1,91,18,39,93,0,1,1,100,7,32
TN,3579436,77,73,93,60,96,44,77,21,97,98,51,97,33,27,100,100,79,44,33,35,100,99,100,97,97,100,100,61,21,3,1,68,72,64,96,77,99,98,100,77,77
TX,14114825,71,69,89,0,68,0,8,35,98,98,74,98,24,21,99,100,91,48,43,41,100,97,89,87,87,100,100,28,16,0,3,80,53,70,93,72,99,98,100,48,68
UT,1446678,69,66,97,0,3,0,1,51,99,98,68,97,24,23,98,98,95,37,34,11,100,98,79,87,87,100,100,50,48,0,0,81,59,70,96,71,96,94,100,46,69
VA,4025790,70,69,86,50,78,29,43,64,99,98,91,99,40,32,99,100,98,38,30,27,100,99,86,94,94,100,100,59,59,1,6,83,67,78,99,77,98,97,100,49,70
VT,353114,46,21,89,15,17,1,1,43,99,98,77,95,13,12,99,100,96,21,0,2,100,99,98,97,97,100,100,15,43,0,1,78,33,80,96,0,0,0,100,62,45
WA,3457433,75,73,89,52,71,31,43,66,99,94,51,98,49,42,100,99,80,60,52,55,100,90,85,92,92,100,100,49,15,0,0,71,70,76,96,77,96,95,100,61,76
WI,3571896,23,21,91,8,16,3,3,23,96,93,76,98,8,6,100,100,96,18,14,12,100,98,72,94,94,100,100,5,18,2,2,83,22,65,90,19,75,74,100,39,23
WV,1511530,45,43,93,22,46,0,0,44,99,92,86,100,15,15,99,96,99,9,3,6,100,98,91,80,80,100,100,0,45,10,3,85,45,60,99,56,93,93,100,53,45
WY,374856,70,69,88,0,10,0,1,40,98,96,89,100,17,5,99,100,99,43,39,42,100,96,91,90,90,100,100,64,34,0,0,74,68,74,96,74,96,96,100,29,71
