NAICS_CODE,TOP_CATEGORY,SUB_CATEGORY,TOTAL_POIS,ALL_POIS,OPENED_ON_PERCENT,CLOSED_ON_PERCENT,PHONE_FILL_RATE,OPEN_FILL_RATE
446199,Health and Personal Care Stores,All Other Health and Personal Care Stores,9490,7952451,0.017176,0.021075,0.294415,0.325922
484210,Specialized Freight Trucking,Used Household and Office Goods Moving,9456,7952451,0.001058,0.038494,0.787014,0.304146
448110,Clothing Stores,Men's Clothing Stores,9424,7952451,0.003820,0.195458,0.827674,0.578417
551114,Management of Companies and Enterprises,"Corporate, Subsidiary, and Regional Managing Offices",9255,7952451,0.000000,0.001945,0.047326,0.010265
712120,"Museums, Historical Sites, and Similar Institutions",Historical Sites,9025,7952451,0.000000,0.027590,0.384598,0.141939
721211,RV (Recreational Vehicle) Parks and Recreational Camps,RV (Recreational Vehicle) Parks and Campgrounds,8943,7952451,0.003355,0.036565,0.699094,0.256961
441222,Other Motor Vehicle Dealers,Boat Dealers,8897,7952451,0.000562,0.100146,0.823536,0.427785
541219,"Accounting, Tax Preparation, Bookkeeping, and Payroll Services",Other Accounting Services,8760,7952451,0.000000,0.038927,0.818950,0.268037
811191,Automotive Repair and Maintenance,Automotive Oil Change and Lubrication Shops,8687,7952451,0.072983,0.054334,0.893404,0.495453
621493,Outpatient Care Centers,Freestanding Ambulatory Surgical and Emergency Centers,8448,7952451,0.024858,0.126302,0.670810,0.654830
448130,Clothing Stores,Children's and Infants' Clothing Stores,8430,7952451,0.002017,0.261091,0.822776,0.521352
811211,Electronic and Precision Equipment Repair and Maintenance,Consumer Electronics Repair and Maintenance,8259,7952451,0.000484,0.155467,0.881584,0.494249
811412,Personal and Household Goods Repair and Maintenance,Appliance Repair and Maintenance,8217,7952451,0.000000,0.106121,0.902154,0.464403
611699,Other Schools and Instruction,All Other Miscellaneous Schools and Instruction,8165,7952451,0.017146,0.072750,0.829394,0.542315
623312,Continuing Care Retirement Communities and Assisted Living Facilities for the Elderly,Assisted Living Facilities for the Elderly,7937,7952451,0.011087,0.052665,0.715258,0.174751
238330,Building Finishing Contractors,Flooring Contractors,7916,7952451,0.000632,0.044088,0.908413,0.256443
811411,Personal and Household Goods Repair and Maintenance,Home and Garden Equipment Repair and Maintenance,7519,7952451,0.000133,0.116372,0.816731,0.352839
611692,Other Schools and Instruction,Automobile Driving Schools,7518,7952451,0.000000,0.131817,0.785448,0.411280
332812,"Coating, Engraving, Heat Treating, and Allied Activities","Metal Coating, Engraving (except Jewelry and Silverware), and Allied Services to Manufacturers",7210,7952451,0.000139,0.074619,0.838419,0.373786
531311,Activities Related to Real Estate,Residential Property Managers,7194,7952451,0.000000,0.043230,0.855435,0.249235
532120,Automotive Equipment Rental and Leasing,"Truck, Utility Trailer, and RV (Recreational Vehicle) Rental and Leasing",7155,7952451,0.001817,0.579734,0.912509,0.340461
423850,"Machinery, Equipment, and Supplies Merchant Wholesalers",Service Establishment Equipment and Supplies Merchant Wholesalers,6969,7952451,0.017937,0.069020,0.844311,0.479409
493110,Warehousing and Storage,General Warehousing and Storage,6361,7952451,0.038202,0.018708,0.542210,0.164754
335220,Household Appliance Manufacturing,Major Household Appliance Manufacturing,6305,7952451,0.000000,0.146233,0.857415,0.383029
312130,Beverage Manufacturing,Wineries,6255,7952451,0.000000,0.115747,0.862670,0.601759
811420,Personal and Household Goods Repair and Maintenance,Reupholstery and Furniture Repair,6246,7952451,0.000000,0.126001,0.908101,0.334454
922140,"Justice, Public Order, and Safety Activities",Correctional Institutions,6148,7952451,0.000000,0.000651,0.618575,0.003741
485112,Urban Transit Systems,Commuter Rail Systems,5843,7952451,0.000000,0.000000,0.000000,0.000000
445210,Specialty Food Stores,Meat Markets,5794,7952451,0.001726,0.169313,0.907663,0.384881
561311,Employment Services,Employment Placement Agencies,5720,7952451,0.044580,0.032692,0.921678,0.584441
713110,Amusement Parks and Arcades,Amusement and Theme Parks,5608,7952451,0.000000,0.139800,0.629993,0.254993
238150,"Foundation, Structure, and Building Exterior Contractors",Glass and Glazing Contractors,5531,7952451,0.000000,0.041945,0.896944,0.375520
5418,"Advertising, Public Relations, and Related Services",,5530,7952451,0.000000,0.061844,0.830561,0.339421
621410,Outpatient Care Centers,Family Planning Centers,5453,7952451,0.002567,0.085458,0.746745,0.490189
445220,Specialty Food Stores,Fish and Seafood Markets,5315,7952451,0.000000,0.176482,0.899718,0.401317
444210,Lawn and Garden Equipment and Supplies Stores,Outdoor Power Equipment Stores,5315,7952451,0.000376,0.117215,0.834431,0.378363
811118,Automotive Repair and Maintenance,Other Automotive Mechanical and Electrical Repair and Maintenance,5315,7952451,0.050800,0.096519,0.638570,0.566510
621512,Medical and Diagnostic Laboratories,Diagnostic Imaging Centers,5314,7952451,0.019006,0.087505,0.649228,0.572262
713950,Other Amusement and Recreation Industries,Bowling Centers,5306,7952451,0.003204,0.171127,0.820957,0.466453
532284,Consumer Goods Rental,Recreational Goods Rental,5268,7952451,0.000000,0.101936,0.799924,0.549544
561510,Travel Arrangement and Reservation Services,Travel Agencies,5219,7952451,0.000000,0.063997,0.777735,0.425560
621498,Outpatient Care Centers,All Other Outpatient Care Centers,5212,7952451,0.007291,0.102456,0.548926,0.368956
