"MSA Code",,
"MSA Code",State,"MSA Name"
2640,Michigan,"FLINT                                                                                                                                                 "
3000,Michigan,"GRAND RAPIDS-MUSKEGON-HOLLAND                                                                                                                         "
3520,Michigan,"JACKSON                                                                                                                                               "
3720,Michigan,"KALAMAZOO-BATTLE CREEK                                                                                                                                "
4040,Michigan,"LANSING-EAST LANSING                                                                                                                                  "
6960,Michigan,"SAGINAW-BAY CITY-MIDLAND                                                                                                                              "
2240,Minnesota,"DULUTH-SUPERIOR (MN-WI)                                                                                                                               "
2520,Minnesota,"FARGO-MOORHEAD (ND-MN)                                                                                                                                "
2985,Minnesota,"GRAND FORKS (ND-MN)                                                                                                                                   "
3870,Minnesota,"LA CROSSE (WI-MN)                                                                                                                                     "
5120,Minnesota,"MINNEAPOLIS-ST. PAUL (MN-WI)                                                                                                                          "
6820,Minnesota,"ROCHESTER                                                                                                                                             "
6980,Minnesota,"ST. CLOUD                                                                                                                                             "
0920,Mississippi,"BILOXI-GULFPORT-PASCAGOULA                                                                                                                            "
3285,Mississippi,"HATTIESBURG                                                                                                                                           "
3560,Mississippi,"JACKSON                                                                                                                                               "
4920,Mississippi,"MEMPHIS (TN-AR-MS)                                                                                                                                    "
1740,Missouri,"COLUMBIA                                                                                                                                              "
3710,Missouri,"JOPLIN                                                                                                                                                "
3760,Missouri,"KANSAS CITY (MO-KS)                                                                                                                                   "
7920,Missouri,"SPRINGFIELD                                                                                                                                           "
7000,Missouri,"ST. JOSEPH                                                                                                                                            "
7040,Missouri,"ST. LOUIS (MO-IL)                                                                                                                                     "
0880,Montana,"BILLINGS                                                                                                                                              "
3040,Montana,"GREAT FALLS                                                                                                                                           "
4360,Montana,"LINCOLN                                                                                                                                               "
5140,Montana,MISSOULA
5920,Montana,"OMAHA (NE-IA)                                                                                                                                         "
7720,Montana,"SIOUX CITY (IA-NE)                                                                                                                                    "
4120,Nevada,"LAS VEGAS (NV-AZ)                                                                                                                                     "
6720,Nevada,"RENO                                                                                                                                                  "
1120,"New Hampshire","BOSTON (MA-NH)                                                                                                                                        "
4160,"New Hampshire","LAWRENCE (MA-NH)                                                                                                                                      "
4560,"New Hampshire","LOWELL (MA-NH)                                                                                                                                        "
4760,"New Hampshire","MANCHESTER                                                                                                                                            "
5350,"New Hampshire","NASHUA                                                                                                                                                "
6450,"New Hampshire","PORTSMOUTH-ROCHESTER (NH-ME)                                                                                                                          "
0560,"New Jersey","ATLANTIC-CAPE MAY                                                                                                                                     "
0875,"New Jersey","BERGEN-PASSAIC                                                                                                                                        "
3640,"New Jersey","JERSEY CITY                                                                                                                                           "
5015,"New Jersey","MIDDLESEX-SOMERSET-HUNTERDON                                                                                                                          "
5190,"New Jersey","MONMOUTH-OCEAN                                                                                                                                        "
5640,"New Jersey","NEWARK                                                                                                                                                "
6160,"New Jersey","PHILADELPHIA (PA-NJ)                                                                                                                                  "
8480,"New Jersey","TRENTON                                                                                                                                               "
8760,"New Jersey","VINELAND-MILLVILLE-BRIDGETON                                                                                                                          "
0200,"New Mexico","ALBUQUERQUE                                                                                                                                           "
4100,"New Mexico","LAS CRUCES                                                                                                                                            "
7490,"New Mexico","SANTA FE                                                                                                                                              "
0160,"New York","ALBANY-SCHENECTADY-TROY                                                                                                                               "
0960,"New York","BINGHAMTON                                                                                                                                            "
1280,"New York","BUFFALO-NIAGARA FALLS                                                                                                                                 "
2281,"New York","DUTCHESS COUNTY                                                                                                                                       "
2335,"New York","ELMIRA                                                                                                                                                "
2975,"New York","GLENS FALLS                                                                                                                                           "
3610,"New York","JAMESTOWN                                                                                                                                             "
5380,"New York","NASSAU-SUFFOLK                                                                                                                                        "
5600,"New York","NEW YORK                                                                                                                                              "
5660,"New York","NEWBURGH (NY-PA)                                                                                                                                      "
6840,"New York","ROCHESTER                                                                                                                                             "
8160,"New York","SYRACUSE                                                                                                                                              "
8680,"New York","UTICA-ROME                                                                                                                                            "
0480,"North Carolina","ASHEVILLE                                                                                                                                             "
1520,"North Carolina","CHARLOTTE-GASTONIA-ROCK HILL (NC-SC)                                                                                                                  "
2560,"North Carolina","FAYETTEVILLE                                                                                                                                          "
2980,"North Carolina","GOLDSBORO                                                                                                                                             "
3120,"North Carolina","GREENSBORO--WINSTON-SALEM--HIGH POINT                                                                                                                 "
3150,"North Carolina","GREENVILLE                                                                                                                                            "
3290,"North Carolina","HICKORY-MORGANTON-LENOIR                                                                                                                              "
3605,"North Carolina","JACKSONVILLE                                                                                                                                          "
5720,"North Carolina","NORFOLK-VIRGINIA BEACH-NEWPORT NEWS (VA-NC)                                                                                                           "
6640,"North Carolina","RALEIGH-DURHAM-CHAPEL HILL                                                                                                                            "
6895,"North Carolina","ROCKY MOUNT                                                                                                                                           "
9200,"North Carolina","WILMINGTON                                                                                                                                            "
1010,"North Dakota","BISMARCK                                                                                                                                              "
2520,"North Dakota","FARGO-MOORHEAD (ND-MN)                                                                                                                                "
2985,"North Dakota","GRAND FORKS (ND-MN)                                                                                                                                   "
0080,Ohio,"AKRON                                                                                                                                                 "
1320,Ohio,"CANTON-MASSILLON                                                                                                                                      "
1640,Ohio,"CINCINNATI (OH-KY-IN)                                                                                                                                 "
1680,Ohio,"CLEVELAND-LORAIN-ELYRIA                                                                                                                               "
1840,Ohio,"COLUMBUS                                                                                                                                              "
2000,Ohio,"DAYTON-SPRINGFIELD                                                                                                                                    "
3200,Ohio,"HAMILTON-MIDDLETOWN                                                                                                                                   "
3400,Ohio,"HUNTINGTON-ASHLAND (WV-KY-OH)                                                                                                                         "
4320,Ohio,"LIMA                                                                                                                                                  "
4800,Ohio,"MANSFIELD                                                                                                                                             "
6020,Ohio,"PARKERSBURG-MARIETTA (WV-OH)                                                                                                                          "
8080,Ohio,"STEUBENVILLE-WEIRTON (OH-WV)                                                                                                                          "
8400,Ohio,"TOLEDO                                                                                                                                                "
9000,Ohio,"WHEELING (WV-OH)                                                                                                                                      "
9320,Ohio,"YOUNGSTOWN-WARREN                                                                                                                                     "
2340,Oklahoma,"ENID                                                                                                                                                  "
2720,Oklahoma,"FORT SMITH (AR-OK)                                                                                                                                    "
4200,Oklahoma,"LAWTON                                                                                                                                                "
5880,Oklahoma,"OKLAHOMA CITY                                                                                                                                         "
8560,Oklahoma,"TULSA                                                                                                                                                 "
1890,Oregon,CORVALLIS
2400,Oregon,"EUGENE-SPRINGFIELD                                                                                                                                    "
4890,Oregon,"MEDFORD-ASHLAND                                                                                                                                       "
6440,Oregon,"PORTLAND-VANCOUVER (OR-WA)                                                                                                                            "
7080,Oregon,"SALEM                                                                                                                                                 "
0240,Pennsylvania,"ALLENTOWN-BETHLEHEM-EASTON                                                                                                                            "
0280,Pennsylvania,"ALTOONA                                                                                                                                               "
2360,Pennsylvania,"ERIE                                                                                                                                                  "
3240,Pennsylvania,"HARRISBURG-LEBANON-CARLISLE                                                                                                                           "
3680,Pennsylvania,"JOHNSTOWN                                                                                                                                             "
4000,Pennsylvania,"LANCASTER                                                                                                                                             "
5660,Pennsylvania,"NEWBURGH (NY-PA)                                                                                                                                      "
6160,Pennsylvania,"PHILADELPHIA (PA-NJ)                                                                                                                                  "
6280,Pennsylvania,"PITTSBURGH                                                                                                                                            "
6680,Pennsylvania,"READING                                                                                                                                               "
7560,Pennsylvania,"SCRANTON--WILKES-BARRE--HAZLETON                                                                                                                      "
7610,Pennsylvania,"SHARON                                                                                                                                                "
8050,Pennsylvania,"STATE COLLEGE                                                                                                                                         "
9140,Pennsylvania,"WILLIAMSPORT                                                                                                                                          "
9280,Pennsylvania,"YORK                                                                                                                                                  "
0060,"Puerto Rico","AGUADILLA                                                                                                                                             "
0470,"Puerto Rico","ARECIBO                                                                                                                                               "
1310,"Puerto Rico","CAGUAS                                                                                                                                                "
4840,"Puerto Rico","MAYAGUEZ                                                                                                                                              "
6360,"Puerto Rico","PONCE                                                                                                                                                 "
7440,"Puerto Rico","SAN JUAN-BAYAMON                                                                                                                                      "
5520,"Rhode Island","NEW LONDON-NORWICH (CT-RI)                                                                                                                            "
6480,"Rhode Island","PROVIDENCE-FALL RIVER-WARWICK (RI-MA)                                                                                                                 "
