unit_id,geog_id,geog_type,latitude,longitude,ISP,Technology,Download,Upload,down_mean,down_50%,down_min,down_max,up_mean,up_50%,up_min,up_max,latency,lossrate,jitter_down,numTest
38098261,36017970502,tract,42.543667,-75.443215,Frontier,DSL,12.0,1.0,16.84,17.52,7.3,17.57,0.92,0.93,0.71,0.98,23,0.09,0.91,215
38098273,480850316661,blockgroup,33.105994,-96.748483,Frontier,Fiber,500.0,500.0,494.75,498.4,358.91,504.8,508.14,508.84,482.93,510.26,3,0.01,0.32,187
38098277,18021040500,tract,39.402298,-87.084369,Frontier,DSL,12.0,1.0,10.08,10.43,2.91,11.33,0.68,0.69,0.38,0.75,22,0.1,0.88,204
38098285,60650435092,blockgroup,33.797003,-116.963931,Frontier,Fiber,500.0,500.0,497.02,496.56,491.46,504.0,509.39,508.99,506.21,513.86,5,0.07,0.36,16
38098293,121050125024,blockgroup,28.202015,-81.56227,Frontier,Fiber,500.0,500.0,482.55,507.38,179.49,509.16,470.23,497.87,200.36,501.44,21,0.01,0.4,355
38098313,36105951301,tract,41.552266,-74.539937,Frontier,DSL,6.0,1.0,3.93,4.05,1.56,4.96,0.69,0.69,0.5,0.82,39,0.39,19.33,272
38098321,541019701011,blockgroup,38.415387,-80.511175,Frontier,DSL,6.0,1.0,5.42,5.46,2.04,5.81,0.85,0.85,0.7,0.91,27,0.1,0.87,358
38098353,171130054012,blockgroup,40.384114,-88.942568,Frontier,DSL,12.0,1.0,15.37,15.75,5.85,15.87,1.53,1.53,0.81,1.64,10,0.09,0.79,288
38098357,36035970500,tract,43.070139,-74.630402,Frontier,DSL,9.0,1.0,10.15,10.9,4.84,10.95,1.04,1.07,0.6,1.17,38,0.16,0.77,198
38098405,360550112074,blockgroup,43.200908,-77.504633,Frontier,DSL,12.0,1.0,10.13,10.52,4.07,10.59,1.51,1.53,1.18,1.6,19,0.05,1.09,311
38098425,60650432102,blockgroup,33.564579,-117.157299,Frontier,Fiber,75.0,75.0,79.4,82.1,13.03,82.38,76.5,73.92,31.19,86.25,11,0.01,0.82,172
38098429,550699604002,blockgroup,45.186273,-89.850857,Frontier,DSL,12.0,1.0,15.09,15.75,8.53,16.32,1.55,1.55,1.24,1.65,18,0.08,0.69,191
38098437,550219702004,blockgroup,43.488345,-89.318303,Frontier,DSL,18.0,1.5,21.08,21.83,4.87,22.0,1.52,1.53,1.24,1.65,33,0.07,0.68,239
38098449,17177000100,tract,42.422896,-89.456366,Frontier,DSL,6.0,1.0,5.74,5.71,2.18,5.91,0.93,0.92,0.84,1.0,12,0.04,0.38,362
38098453,170070104001,blockgroup,42.257391,-88.886663,Frontier,DSL,6.0,0.512,8.86,5.7,1.74,29.81,1.24,0.71,0.61,3.6,13,2.13,1.01,158
38098469,390930951002,blockgroup,41.287125,-82.057265,Frontier,DSL,6.0,0.768,54.97,58.3,21.01,59.82,9.6,9.69,0.65,10.02,20,0.19,0.45,229
38098489,48085031629,tract,33.045073,-96.723969,Frontier,Fiber,1000.0,1000.0,777.51,845.69,517.69,880.81,931.82,931.85,927.91,934.58,2,0.08,0.3,103
