   ,CATEGORY,STATENAME,COUNT,
236,EDUCATION,NEW JERSEY,"10,888",
237,EDUCATION,NEW MEXICO,"2,347",
238,EDUCATION,NEW YORK,"20,506",
239,EDUCATION,NORTH CAROLINA,"9,063",
240,EDUCATION,NORTH DAKOTA,"1,014",
241,EDUCATION,OHIO,"12,565",
242,EDUCATION,OKLAHOMA,"4,146",
243,EDUCATION,OREGON,"4,680",
244,EDUCATION,PENNSYLVANIA,"15,736",
245,EDUCATION,RHODE ISLAND,"1,208",
246,EDUCATION,SOUTH CAROLINA,"4,731",
247,EDUCATION,SOUTH DAKOTA,"1,341",
248,EDUCATION,TENNESSEE,"6,652",
249,EDUCATION,TEXAS,"23,702",
250,EDUCATION,UTAH,"2,465",
251,EDUCATION,VERMONT,800,
252,EDUCATION,VIRGINIA,"8,366",
253,EDUCATION,WASHINGTON,"8,277",
254,EDUCATION,WEST VIRGINIA,"1,622",
255,EDUCATION,WISCONSIN,"6,453",
256,EDUCATION,WYOMING,824,
257,FARM - RANCH,ALABAMA,717,
258,FARM - RANCH,ALASKA,65,
259,FARM - RANCH,ARIZONA,604,
260,FARM - RANCH,ARKANSAS,960,
261,FARM - RANCH,CALIFORNIA,"5,761",
262,FARM - RANCH,COLORADO,"1,094",
263,FARM - RANCH,CONNECTICUT,399,
264,FARM - RANCH,DELAWARE,128,
265,FARM - RANCH,DISTRICT OF COLUMBIA,37,
266,FARM - RANCH,FLORIDA,"2,194",
267,FARM - RANCH,GEORGIA,"1,617",
268,FARM - RANCH,HAWAII,209,
269,FARM - RANCH,IDAHO,797,
270,FARM - RANCH,ILLINOIS,"2,981",
271,FARM - RANCH,INDIANA,"1,676",
272,FARM - RANCH,IOWA,"3,285",
273,FARM - RANCH,KANSAS,"1,868",
274,FARM - RANCH,KENTUCKY,"1,444",
275,FARM - RANCH,LOUISIANA,594,
276,FARM - RANCH,MAINE,313,
277,FARM - RANCH,MARYLAND,565,
278,FARM - RANCH,MASSACHUSETTS,751,
279,FARM - RANCH,MICHIGAN,"1,940",
280,FARM - RANCH,MINNESOTA,"3,135",
281,FARM - RANCH,MISSISSIPPI,764,
282,FARM - RANCH,MISSOURI,"1,833",
283,FARM - RANCH,MONTANA,737,
284,FARM - RANCH,NEBRASKA,"1,839",
285,FARM - RANCH,NEVADA,159,
286,FARM - RANCH,NEW HAMPSHIRE,227,
287,FARM - RANCH,NEW JERSEY,860,
288,FARM - RANCH,NEW MEXICO,357,
289,FARM - RANCH,NEW YORK,"2,118",
290,FARM - RANCH,NORTH CAROLINA,"2,528",
291,FARM - RANCH,NORTH DAKOTA,"1,232",
292,FARM - RANCH,OHIO,"1,497",
293,FARM - RANCH,OKLAHOMA,714,
294,FARM - RANCH,OREGON,"1,511",
295,FARM - RANCH,PENNSYLVANIA,"2,002",
296,FARM - RANCH,RHODE ISLAND,111,
297,FARM - RANCH,SOUTH CAROLINA,712,
298,FARM - RANCH,SOUTH DAKOTA,"1,111",
299,FARM - RANCH,TENNESSEE,"1,192",
300,FARM - RANCH,TEXAS,"3,156",
301,FARM - RANCH,UTAH,306,
302,FARM - RANCH,VERMONT,276,
303,FARM - RANCH,VIRGINIA,"1,130",
304,FARM - RANCH,WASHINGTON,"2,091",
305,FARM - RANCH,WEST VIRGINIA,176,
306,FARM - RANCH,WISCONSIN,"2,314",
307,FARM - RANCH,WYOMING,377,
308,GOVERNMENT - PUBLIC,ALABAMA,"2,986",
309,GOVERNMENT - PUBLIC,ALASKA,609,
310,GOVERNMENT - PUBLIC,ARIZONA,"1,464",
311,GOVERNMENT - PUBLIC,ARKANSAS,"2,110",
312,GOVERNMENT - PUBLIC,CALIFORNIA,"10,277",
313,GOVERNMENT - PUBLIC,COLORADO,"1,894",
314,GOVERNMENT - PUBLIC,CONNECTICUT,"1,856",
315,GOVERNMENT - PUBLIC,DELAWARE,332,
316,GOVERNMENT - PUBLIC,DISTRICT OF COLUMBIA,803,
317,GOVERNMENT - PUBLIC,FLORIDA,"6,413",
318,GOVERNMENT - PUBLIC,GEORGIA,"4,950",
319,GOVERNMENT - PUBLIC,HAWAII,627,
320,GOVERNMENT - PUBLIC,IDAHO,972,
321,GOVERNMENT - PUBLIC,ILLINOIS,"6,234",
322,GOVERNMENT - PUBLIC,INDIANA,"3,577",
323,GOVERNMENT - PUBLIC,IOWA,"3,863",
324,GOVERNMENT - PUBLIC,KANSAS,"2,847",
325,GOVERNMENT - PUBLIC,KENTUCKY,"2,503",
326,GOVERNMENT - PUBLIC,LOUISIANA,"3,722",
327,GOVERNMENT - PUBLIC,MAINE,"1,196",
328,GOVERNMENT - PUBLIC,MARYLAND,"1,640",
329,GOVERNMENT - PUBLIC,MASSACHUSETTS,"3,183",
